League,Number_of_Games,Percentage_of_Games,No_of_Goals
"England Premier League",689,30.5272,3
"England Premier League",307,13.6021,4
"England Premier League",238,10.5450,5
"England Premier League",72,3.1901,6
"England Premier League",41,1.8166,7
"England Premier League",15,0.6646,8
"England Premier League",5,0.2215,9
"England Premier League",3,0.1329,10
"France Ligue 1",604,27.6937,3
"France Ligue 1",279,12.7923,4
"France Ligue 1",199,9.1243,5
"France Ligue 1",53,2.4301,6
"France Ligue 1",19,0.8712,7
"France Ligue 1",5,0.2293,8
"France Ligue 1",4,0.1834,9
"Germany 1. Bundesliga",540,29.1734,3
"Germany 1. Bundesliga",285,15.3971,4
"Germany 1. Bundesliga",238,12.8579,5
"Germany 1. Bundesliga",87,4.7002,6
"Germany 1. Bundesliga",31,1.6748,7
"Germany 1. Bundesliga",14,0.7563,8
"Germany 1. Bundesliga",6,0.3241,9
"Germany 1. Bundesliga",1,0.0540,11
"Italy Serie A",628,28.2756,3
"Italy Serie A",273,12.2918,4
"Italy Serie A",213,9.5903,5
"Italy Serie A",79,3.5570,6
"Italy Serie A",41,1.8460,7
"Italy Serie A",9,0.4052,8
"Italy Serie A",3,0.1351,9
"Spain LIGA BBVA",675,28.8955,3
"Spain LIGA BBVA",305,13.0565,4
"Spain LIGA BBVA",256,10.9589,5
"Spain LIGA BBVA",110,4.7089,6
"Spain LIGA BBVA",55,2.3545,7
"Spain LIGA BBVA",19,0.8134,8
"Spain LIGA BBVA",3,0.1284,9
"Spain LIGA BBVA",4,0.1712,10
"Spain LIGA BBVA",1,0.0428,12
