Result_Percentage,league_name,home_result
46.7228,"Belgium Jupiler League",Win
28.5628,"Belgium Jupiler League",Loss
24.7144,"Belgium Jupiler League",Draw
28.5197,"England Premier League",Loss
45.7237,"England Premier League",Win
25.7566,"England Premier League",Draw
28.2566,"France Ligue 1",Draw
27.0395,"France Ligue 1",Loss
44.7039,"France Ligue 1",Win
45.2206,"Germany 1. Bundesliga",Win
30.3922,"Germany 1. Bundesliga",Loss
24.3873,"Germany 1. Bundesliga",Draw
26.3838,"Italy Serie A",Draw
26.9804,"Italy Serie A",Loss
46.6357,"Italy Serie A",Win
23.7690,"Netherlands Eredivisie",Draw
28.5586,"Netherlands Eredivisie",Loss
47.6723,"Netherlands Eredivisie",Win
43.7500,"Poland Ekstraklasa",Win
26.6667,"Poland Ekstraklasa",Loss
29.5833,"Poland Ekstraklasa",Draw
44.1418,"Portugal Liga ZON Sagres",Win
29.9589,"Portugal Liga ZON Sagres",Loss
25.8993,"Portugal Liga ZON Sagres",Draw
24.5066,"Scotland Premier League",Draw
41.6667,"Scotland Premier League",Win
33.8268,"Scotland Premier League",Loss
27.9934,"Spain LIGA BBVA",Loss
23.1579,"Spain LIGA BBVA",Draw
48.8487,"Spain LIGA BBVA",Win
23.9757,"Switzerland Super League",Draw
30.4249,"Switzerland Super League",Loss
45.5994,"Switzerland Super League",Win
