league_name,Win%,Draw%,Loss%
"Spain LIGA BBVA",48.8487,23.1579,27.9934
"Netherlands Eredivisie",47.6723,23.7690,28.5586
"Belgium Jupiler League",46.7228,24.7144,28.5628
"Italy Serie A",46.6357,26.3838,26.9804
"England Premier League",45.7237,25.7566,28.5197
"Switzerland Super League",45.5994,23.9757,30.4249
"Germany 1. Bundesliga",45.2206,24.3873,30.3922
"France Ligue 1",44.7039,28.2566,27.0395
"Portugal Liga ZON Sagres",44.1418,25.8993,29.9589
"Poland Ekstraklasa",43.7500,29.5833,26.6667
"Scotland Premier League",41.6667,24.5066,33.8268
